Principal,Website Category,Website JSON File,Present on Website,Excel Sheet Status,Matched Excel Category,Confidence %
Mettler Toledo,UV/VIS Spectrophotometers,uv-vis-spectrophotometers.json,Yes,Present in Sheet,UV/VIS Spectrophotometers,100
Mettler Toledo,Weighing Balances,weighing-balances.json,Yes,Present in Sheet,Weighing Balances,100
Nanalysis,Automation / Sample Handling (NMR),automation-sample-handling.json,Yes,Missing from Sheet,Autosamplers (Standalone / Basic Integration),54
Nanalysis,Benchtop NMR,benchtop-nmr.json,Yes,Present in Sheet,Benchtop NMR Spectrometers,78
Nanalysis,NMR Spectroscopy / Analysis,nmr-spectroscopy-analysis.json,Yes,Missing from Sheet,Microbial Analysis Systems,59
Nanalysis,Reaction Monitoring / Flow NMR,reaction-monitoring-flow-nmr.json,Yes,Missing from Sheet,Process Monitoring Systems,57
Nanalysis,Software Packages,software-packages.json,Yes,Missing from Sheet,Moisture Analyzers,48
Nanosurf,Industry,industry.json,Yes,Missing from Sheet,Incubators,59
Nanosurf,Integration,integration.json,Yes,Missing from Sheet,Evaporation Systems,60
Nanosurf,Research,advanced-research.json,Yes,Missing from Sheet,Rheometers,47
Nanosurf,Research,research.json,Yes,Missing from Sheet,Rheometers,47
NenoVision s.r.o.,Litescope,litescope.json,Yes,Missing from Sheet,Viscometers,53
Photon ETC,Area Scan Imaging,area-scan-imaging.json,Yes,Missing from Sheet,Preclinical Imaging Systems,67
Photon ETC,eSWIR Cameras,eswir-cameras.json,Yes,Missing from Sheet,Density meters,56
Photon ETC,Linescan Cameras,linescan-cameras.json,Yes,Missing from Sheet,Plant Growth Chambers,51
Photon ETC,Microscopy,microscopy.json,Yes,Missing from Sheet,FT-IR Microscopes,60
Photon ETC,NIR-I & NIR-II Preclinical Imaging,nir-i-nir-ii-preclinical-imaging.json,Yes,Missing from Sheet,Preclinical Imaging Systems,69
Photon ETC,Plate Readers,plate-readers.json,Yes,Missing from Sheet,Pilot Reactors,60
Photon ETC,SWIR Cameras,swir-cameras.json,Yes,Missing from Sheet,Environmental Chambers,50
PolyScience,Chillers,chillers.json,Yes,Present in Sheet,Chillers,100
PolyScience,Circulating Baths,circulating-baths.json,Yes,Present in Sheet,Circulating Baths,100
PolyScience,Water Baths,water-baths.json,Yes,Present in Sheet,Water Baths,100
ProScientific,Automated Homogenizer,automated-homogenizer.json,Yes,Missing from Sheet,Hand-Held Rotor-Stator Homogenizers,62
ProScientific,Digital Benchtop Homogenizers,digital-benchtop-homogenizers.json,Yes,Missing from Sheet,High-Pressure Homogenizers,60
ProScientific,Digital Homogenizer,digital-homogenizer.json,Yes,Missing from Sheet,High-Pressure Homogenizers,64
ProScientific,Hand-Held Rotor-Stator Homogenizers,hand-held-rotor-stator-homogenizers.json,Yes,Present in Sheet,Hand-Held Rotor-Stator Homogenizers,100
ProScientific,Programmable Benchtop Homogenizers,programmable-benchtop-homogenizers.json,Yes,Missing from Sheet,High-Pressure Homogenizers,55
Radleys,Automated Reaction Stations,automated-reaction-stations.json,Yes,Present in Sheet,Automated Reaction Stations,100
Radleys,AVA Lab Control Software,ava-lab-control-software.json,Yes,Missing from Sheet,Automation & Control Systems (PLC / Software Driven),61
Radleys,Benchtop and Hotplate Tools,benchtop-and-hotplate-tools.json,Yes,Missing from Sheet,Benchtop Rotary Evaporators,58
Radleys,Jacketed Lab Reactors,jacketed-lab-reactors.json,Yes,Missing from Sheet,Pilot Reactors,62
Radleys,Parallel Reaction Stations,parallel-reaction-stations.json,Yes,Present in Sheet,Parallel Reaction Systems,81
Reichert Technologies,High-Sensitivity Surface Plasmon Resonance (SPR) Systems,high-sensitivity-surface-plasmon-resonance-spr-systems.json,Yes,Present in Sheet,High-Sensitivity Surface Plasmon Resonance (SPR) Systems,100
Robot Coupe,Blixer Systems (Fine Homogenization for Semi-Solid Samples),blixer-systems.json,Yes,Present in Sheet,Blixer Systems (Fine Homogenization for Semi-Solid Samples),100
Rotzmeier,Accessories,accessories.json,Yes,Missing from Sheet,Chemical Handling Accessories,57
Rotzmeier,Funnels,safety-funnels.json,Yes,Missing from Sheet,Safety Funnels,68
Rotzmeier,Safety Barrels,safety-barrels.json,Yes,Present in Sheet,Safety Barrels,100
Rotzmeier,Safety Canisters,safety-canisters.json,Yes,Present in Sheet,Safety Canisters,100
Rotzmeier,Safety Cans,safety-cans.json,Yes,Present in Sheet,Safety Cans,100
Rotzmeier,Transportation Containers,transportation-containers.json,Yes,Present in Sheet,Transport Containers,88
Sartorius,Arium Advance,arium-advance.json,Yes,Missing from Sheet,Vacuum Ovens,50
Sartorius,Arium Comfort,arium-comfort.json,Yes,Missing from Sheet,Vacuum Controllers,53
Sartorius,Arium Mini Plus,arium-mini-plus.json,Yes,Missing from Sheet,AFM-in-SEM Systems,56
Sartorius,Arium Pro,arium-pro.json,Yes,Missing from Sheet,Vacuum Ovens,50
SBT Instruments,Bacteria Enumeration Systems,bacteria-enumeration-systems.json,Yes,Present in Sheet,Bacteria Enumeration Systems,100
Sonics & Materials,"Laboratory Scale Models, Volume 150 µL to 150 mL",laboratory-scale-models-volume-150ul-to-150ml.json,Yes,Missing from Sheet,Microvolume UV/VIS Spectrophotometers,40
Sonics & Materials,"Laboratory Scale Models, Volume 200 µL to 1 L",laboratory-scale-models-volume-200ul-to-1l.json,Yes,Missing from Sheet,Microvolume UV/VIS Spectrophotometers,39
Sonics & Materials,"Laboratory Scale Models, Volume 200 µL to 2 L",laboratory-scale-models-volume-200ul-to-2l.json,Yes,Missing from Sheet,Microvolume UV/VIS Spectrophotometers,39
Sonics & Materials,Ultrasonic Probe Sonicators,ultrasonic-probe-sonicators.json,Yes,Present in Sheet,Ultrasonic Probe Sonicators,100
Sonics & Materials,Ultrasonic Probe Sonicators (Production Scale),ultrasonic-probe-sonicators-production-scale.json,Yes,Present in Sheet,Ultrasonic Probe Sonicators,75
Sp Genevac,Benchtop Evaporators,benchtop-evaporators.json,Yes,Present in Sheet,Benchtop Rotary Evaporators,84
Sp Genevac,Centrifugal Evaporators,centrifugal-evaporators.json,Yes,Present in Sheet,Centrifugal Vacuum Evaporators,86
ThalesNano,H Cube Systems,h-cube-systems.json,Yes,Missing from Sheet,CO₂ Incubators,44
ThalesNano,Hydrogen Gas Generators,hydrogen-gas-generators.json,Yes,Present in Sheet,Hydrogen Generators,90
ThalesNano,Phoenix Flow Systems,phoenix-flow-systems.json,Yes,Missing from Sheet,Hydrogenation Flow Reactors,53
ThalesNano,PhotoCube™,photocube.json,Yes,Missing from Sheet,Flame Photometers,48
ThermoFisher Scientific,Viscometers,viscometers.json,Yes,Present in Sheet,Viscometers,100
Waters,Chromatography and LC-MS Systems,chromatography-and-lc-ms-systems.json,Yes,Missing from Sheet,Chromatography Data Systems & Informatics,69
Waters,"LC-MS Systems (High Sensitivity, Regulatory Compliant)",lc-ms-systems-high-sensitivity-regulatory-compliant.json,Yes,Missing from Sheet,LC-MS Systems,57
Waters,UPLC,uplc.json,Yes,Missing from Sheet,Analytical HPLC / UHPLC / UPLC Systems,51
Zeiss,Automated Microscopy Systems,automated-microscopy-systems.json,Yes,Missing from Sheet,Automated Reaction Stations,61
Zeiss,Inverted Microscopes,inverted-microscopes.json,Yes,Present in Sheet,FT-IR Microscopes,74
Zeiss,SteREO Discovery Family,stereo-discovery-family.json,Yes,Missing from Sheet,Atomic Force Microscopes (AFM),44
Zeiss,Stereo Microscopes,stereo-microscopes.json,Yes,Present in Sheet,FT-IR Microscopes,79
Zeiss,Upright Microscopes,upright-microscopes.json,Yes,Present in Sheet,Optical Microscopes,72
Zeiss,Zoom Microscopes,zoom-microscopes.json,Yes,Present in Sheet,Confocal Microscopes,76
