Website Principal,Principal Slug,Website Category,Comparison Status,Matched Sheet Category,Match Basis,Confidence %,Sheet Principal
Heidolph,heidolph,Shakers & Mixers,Missing from Sheet,Overhead Stirrers,No sufficiently close match,50,Heidolph
Heidolph,heidolph,Vacuum Pumps,Missing from Sheet,Peristaltic Pumps,No sufficiently close match,52,Heidolph
Hohsen Corp,hohsen-corp,Equipment For Battery,Missing from Sheet,Electrode Coating Machines,No sufficiently close match,35,Hohsen Corp
Implen,implen,NanoPhotometer,Missing from Sheet,Microvolume UV/VIS Spectrophotometers,No sufficiently close match,44,Implen
Implen,implen,OD 600,Missing from Sheet,Microvolume UV/VIS Spectrophotometers,No sufficiently close match,10,Implen
Inkarp USB,inkarp-usb,Ultrasonic Cleaners & Baths,Present in Sheet,Ultrasonic Cleaners,Close wording match,80,Inkarp USB
JeioTech,jeiotech,Environmental Chambers,Present in Sheet,Environmental Chambers,Exact/normalized match,100,JeioTech
Kubota,kubota,General Purpose Centrifuges,Missing from Sheet,Benchtop Centrifuges,No sufficiently close match,62,Kubota
Kubota,kubota,Laboratory Centrifuges,Missing from Sheet,Benchtop Centrifuges,No sufficiently close match,70,Kubota
Kubota,kubota,Large Laboratory Centrifuges,Missing from Sheet,Benchtop Centrifuges,No sufficiently close match,61,Kubota
Labomatic,labomatic,Industrial Liquid Chromatography,Missing from Sheet,Fully Integrated Chromatography Platforms (End-to-End Systems),No sufficiently close match,51,Labomatic
Labomatic,labomatic,Liquid Handling,Missing from Sheet,Multi-Column Chromatography Systems (Continuous Separation),No sufficiently close match,29,Labomatic
Labstation i,labstation-i,Glovebox Workstations,Present in Sheet,Glovebox Workstations,Exact/normalized match,100,Labstation i
Labstation i,labstation-i,Solvent Purification Systems,Present in Sheet,Solvent Purification Systems,Exact/normalized match,100,Labstation i
Luzchem,luzchem,Extra Large Photoreactor with Heating,Missing from Sheet,ICH Photoreactors (Pharma Stability Testing Systems) ,No sufficiently close match,56,Luzchem
Luzchem,luzchem,Laser Flash Photolysis,Missing from Sheet,Chamber Photoreactors,No sufficiently close match,44,Luzchem
Luzchem,luzchem,LED Illuminator,Missing from Sheet,Computer-Controlled Photoreactors,No sufficiently close match,30,Luzchem
Luzchem,luzchem,Photochemistry / Irradiation,Missing from Sheet,ICH Photoreactors (Pharma Stability Testing Systems) ,No sufficiently close match,45,Luzchem
Luzchem,luzchem,Photoreactors & Exposure,Missing from Sheet,Chamber Photoreactors,No sufficiently close match,53,Luzchem
Luzchem,luzchem,Solar Simulators (300–800 nm),Missing from Sheet,Xenon Photoreactors (Solar Simulation Systems),No sufficiently close match,49,Luzchem
Luzchem,luzchem,Well Plate Illuminator,Missing from Sheet,Computer-Controlled Photoreactors,No sufficiently close match,30,Luzchem
Maccor,maccor,Battery And Cell Test Equipment,Missing from Sheet,Battery Test Systems,No sufficiently close match,56,Maccor
Mettler Toledo,mettler-toledo,Density Meter,Present in Sheet,Density meters,Exact/normalized match,100,Mettler Toledo
Mettler Toledo,mettler-toledo,Melting Point Systems,Present in Sheet,Melting Point Systems,Exact/normalized match,100,Mettler Toledo
Mettler Toledo,mettler-toledo,Moisture Analyzers,Present in Sheet,Moisture Analyzers,Exact/normalized match,100,Mettler Toledo
Mettler Toledo,mettler-toledo,pH Meters,Present in Sheet,pH Meters,Exact/normalized match,100,Mettler Toledo
Mettler Toledo,mettler-toledo,Refractometer,Present in Sheet,Refractometers,Exact/normalized match,100,Mettler Toledo
Mettler Toledo,mettler-toledo,Titrators,Present in Sheet,Titrators,Exact/normalized match,100,Mettler Toledo
Mettler Toledo,mettler-toledo,UV/VIS Spectrophotometers,Present in Sheet,UV/VIS Spectrophotometers,Exact/normalized match,100,Mettler Toledo
Mettler Toledo,mettler-toledo,Weighing Balances,Present in Sheet,Weighing Balances,Exact/normalized match,100,Mettler Toledo
Nanalysis,nanalysis,Automation / Sample Handling (NMR),Missing from Sheet,Benchtop NMR Spectrometers,No sufficiently close match,25,Nanalysis
Nanalysis,nanalysis,Benchtop NMR,Present in Sheet,Benchtop NMR Spectrometers,Close wording match,78,Nanalysis
Nanalysis,nanalysis,NMR Spectroscopy / Analysis,Missing from Sheet,Benchtop NMR Spectrometers,No sufficiently close match,45,Nanalysis
Nanalysis,nanalysis,Reaction Monitoring / Flow NMR,Missing from Sheet,Benchtop NMR Spectrometers,No sufficiently close match,30,Nanalysis
Nanalysis,nanalysis,Software Packages,Missing from Sheet,Benchtop NMR Spectrometers,No sufficiently close match,20,Nanalysis
Nanosurf,nanosurf,Industry,Missing from Sheet,Atomic Force Microscopes (AFM),No sufficiently close match,11,Nanosurf
Nanosurf,nanosurf,Integration,Missing from Sheet,Atomic Force Microscopes (AFM),No sufficiently close match,21,Nanosurf
Nanosurf,nanosurf,Research,Missing from Sheet,Atomic Force Microscopes (AFM),No sufficiently close match,17,Nanosurf
NenoVision s.r.o.,nenovision,Litescope,Missing from Sheet,AFM-in-SEM Systems,No sufficiently close match,21,NenoVision s.r.o.
Photon ETC,photon-etc,Area Scan Imaging,Missing from Sheet,Preclinical Imaging Systems,No sufficiently close match,67,Photon Etc
Photon ETC,photon-etc,eSWIR Cameras,Missing from Sheet,Preclinical Imaging Systems,No sufficiently close match,39,Photon Etc
Photon ETC,photon-etc,Linescan Cameras,Missing from Sheet,Preclinical Imaging Systems,No sufficiently close match,35,Photon Etc
Photon ETC,photon-etc,Microscopy,Missing from Sheet,Preclinical Imaging Systems,No sufficiently close match,14,Photon Etc
Photon ETC,photon-etc,NIR-I & NIR-II Preclinical Imaging,Missing from Sheet,Preclinical Imaging Systems,No sufficiently close match,69,Photon Etc
Photon ETC,photon-etc,Plate Readers,Missing from Sheet,Preclinical Imaging Systems,No sufficiently close match,26,Photon Etc
Photon ETC,photon-etc,SWIR Cameras,Missing from Sheet,Preclinical Imaging Systems,No sufficiently close match,33,Photon Etc
PolyScience,polyscience,Chillers,Present in Sheet,Chillers,Exact/normalized match,100,PolyScience
PolyScience,polyscience,Circulating Baths,Present in Sheet,Circulating Baths,Exact/normalized match,100,PolyScience
PolyScience,polyscience,Water Baths,Missing from Sheet,Circulating Baths,No sufficiently close match,54,PolyScience
ProScientific,proscientific,Automated Homogenizer,Missing from Sheet,Hand-Held Rotor-Stator Homogenizers,No sufficiently close match,62,ProScientific
ProScientific,proscientific,Digital Benchtop Homogenizers,Missing from Sheet,Hand-Held Rotor-Stator Homogenizers,No sufficiently close match,55,ProScientific
ProScientific,proscientific,Digital Homogenizer,Missing from Sheet,Hand-Held Rotor-Stator Homogenizers,No sufficiently close match,57,ProScientific
ProScientific,proscientific,Hand-Held Rotor-Stator Homogenizers,Present in Sheet,Hand-Held Rotor-Stator Homogenizers,Exact/normalized match,100,ProScientific
ProScientific,proscientific,Programmable Benchtop Homogenizers,Missing from Sheet,Hand-Held Rotor-Stator Homogenizers,No sufficiently close match,48,ProScientific
Radleys,radleys,Automated Reaction Stations,Present in Sheet,Automated Reaction Stations,Exact/normalized match,100,Radleys
Radleys,radleys,AVA Lab Control Software,Missing from Sheet,Automated Reaction Stations,No sufficiently close match,40,Radleys
Radleys,radleys,Benchtop and Hotplate Tools,Missing from Sheet,Automated Reaction Stations,No sufficiently close match,35,Radleys
Radleys,radleys,Jacketed Lab Reactors,Missing from Sheet,Pilot Reactors,No sufficiently close match,55,Radleys
Radleys,radleys,Parallel Reaction Stations,Present in Sheet,Parallel Reaction Systems,Close wording match,81,Radleys
Reichert Technologies,reichert,High-Sensitivity Surface Plasmon Resonance (SPR) Systems,Missing from Sheet,,No sufficiently close match,0,Principal absent from sheet
Robot Coupe,robot-coupe,Blixer Systems (Fine Homogenization for Semi-Solid Samples),Present in Sheet,Blixer Systems (Fine Homogenization for Semi-Solid Samples),Exact/normalized match,100,Robot Coupe
Rotzmeier,rotzmeier,Accessories,Missing from Sheet,Chemical Handling Accessories,No sufficiently close match,57,Rotzmeier
Rotzmeier,rotzmeier,Funnels,Missing from Sheet,Safety Funnels,No sufficiently close match,68,Rotzmeier
Rotzmeier,rotzmeier,Safety Barrels,Present in Sheet,Safety Barrels,Exact/normalized match,100,Rotzmeier
Rotzmeier,rotzmeier,Safety Canisters,Present in Sheet,Safety Canisters,Exact/normalized match,100,Rotzmeier
Rotzmeier,rotzmeier,Safety Cans,Present in Sheet,Safety Cans,Exact/normalized match,100,Rotzmeier
Rotzmeier,rotzmeier,Transportation Containers,Present in Sheet,Transport Containers,Close wording match,88,Rotzmeier
Sartorius,sartorius,Arium Advance,Missing from Sheet,"Lab Water Purification Systems (Type I, II, III)",No sufficiently close match,20,Sartorius
Sartorius,sartorius,Arium Comfort,Missing from Sheet,"Lab Water Purification Systems (Type I, II, III)",No sufficiently close match,20,Sartorius
Sartorius,sartorius,Arium Mini Plus,Missing from Sheet,"Lab Water Purification Systems (Type I, II, III)",No sufficiently close match,24,Sartorius
Sartorius,sartorius,Arium Pro,Missing from Sheet,"Lab Water Purification Systems (Type I, II, III)",No sufficiently close match,22,Sartorius
SBT Instruments,sbt-instruments,Bacteria Enumeration Systems,Present in Sheet,Bacteria Enumeration Systems,Exact/normalized match,100,SBT Instruments
Sonics & Materials,sonics,"Laboratory Scale Models, Volume 150 µL to 150 mL",Missing from Sheet,,No sufficiently close match,0,Principal absent from sheet
Sonics & Materials,sonics,"Laboratory Scale Models, Volume 200 µL to 1 L",Missing from Sheet,,No sufficiently close match,0,Principal absent from sheet
Sonics & Materials,sonics,"Laboratory Scale Models, Volume 200 µL to 2 L",Missing from Sheet,,No sufficiently close match,0,Principal absent from sheet
Sonics & Materials,sonics,Ultrasonic Probe Sonicators,Missing from Sheet,,No sufficiently close match,0,Principal absent from sheet
Sonics & Materials,sonics,Ultrasonic Probe Sonicators (Production Scale),Missing from Sheet,,No sufficiently close match,0,Principal absent from sheet
Sp Genevac,sp-genevac,Benchtop Evaporators,Missing from Sheet,Evaporation Systems,No sufficiently close match,60,SP Genevac
Sp Genevac,sp-genevac,Centrifugal Evaporators,Present in Sheet,Centrifugal Vacuum Evaporators,Close wording match,86,SP Genevac
ThalesNano,thalesnano,H Cube Systems,Missing from Sheet,Hydrogen Generators,No sufficiently close match,25,ThalesNano
ThalesNano,thalesnano,Hydrogen Gas Generators,Present in Sheet,Hydrogen Generators,Close wording match,90,ThalesNano
ThalesNano,thalesnano,Phoenix Flow Systems,Missing from Sheet,Hydrogenation Flow Reactors,No sufficiently close match,53,ThalesNano
ThalesNano,thalesnano,PhotoCube™,Missing from Sheet,Photochemistry Reactors,No sufficiently close match,45,ThalesNano
ThermoFisher Scientific,thermofisher,Viscometers,Present in Sheet,Viscometers,Exact/normalized match,100,ThermoFisher Scientific
Waters,waters,Chromatography and LC-MS Systems,Missing from Sheet,Chromatography Data Systems & Informatics,No sufficiently close match,69,Waters
Waters,waters,"LC-MS Systems (High Sensitivity, Regulatory Compliant)",Missing from Sheet,High Resolution Mass Spectrometry / QTOF Systems,No sufficiently close match,40,Waters
Waters,waters,UPLC,Missing from Sheet,Analytical HPLC / UHPLC / UPLC Systems,No sufficiently close match,51,Waters
Zeiss,zeiss,Automated Microscopy Systems,Missing from Sheet,Optical Microscopes,No sufficiently close match,58,Zeiss
Zeiss,zeiss,Inverted Microscopes,Missing from Sheet,Optical Microscopes,No sufficiently close match,65,Zeiss
Zeiss,zeiss,SteREO Discovery Family,Missing from Sheet,Field Emission Scanning Electron Microscopes (FESEM),No sufficiently close match,36,Zeiss
Zeiss,zeiss,Stereo Microscopes,Missing from Sheet,Optical Microscopes,No sufficiently close match,69,Zeiss
Zeiss,zeiss,Upright Microscopes,Missing from Sheet,Optical Microscopes,No sufficiently close match,72,Zeiss
Zeiss,zeiss,Zoom Microscopes,Missing from Sheet,Confocal Microscopes,No sufficiently close match,76,Zeiss
